Название,Специальность
ИЭБО-84-23,Блокчейн и криптовалюты: технологии и применения
ИЭБО-29-23,Безопасность информационных систем и киберзащита
ИНБО-73-20,Анализ больших данных и облачные вычисления
ИВБО-70-21,Блокчейн и криптовалюты: технологии и применения
ИЭБО-01-21,Программирование и разработка на языке Java
ИЛБО-66-23,Интернет вещей (IoT) и умные технологии
ИЛБО-16-21,Блокчейн и криптовалюты: технологии и применения
ИНБО-43-21,Безопасность информационных систем и киберзащита
ИНБО-20-22,Автоматизация тестирования и DevOps
ИНБО-54-22,Анализ данных и машинное обучение
ИНБО-57-22,Программирование и разработка на языке Java
ИКБО-84-23,Разработка приложений для здравоохранения и медицины
ИКБО-95-22,Электронная коммерция и цифровой маркетинг
ИЛБО-15-22,Разработка приложений для здравоохранения и медицины
ИМБО-10-23,Базы данных и архитектура информационных систем
ИКБО-13-23,Автоматизация тестирования и DevOps
ИМБО-44-21,Разработка мобильных приложений и IoT
ИМБО-11-22,Аналитика данных в бизнесе и финансах
ИКБО-61-22,Сетевые технологии и администрирование сетей
ИВБО-41-21,Анализ данных и машинное обучение
ИВБО-53-20,Разработка игр и виртуальной реальности
ИКБО-58-21,Информационные технологии и разработка программного обеспечения
ИМБО-60-22,Киберфизические системы и автоматизация процессов
ИКБО-15-23,Информационные технологии и разработка программного обеспечения
ИЛБО-27-20,Разработка мобильных приложений и IoT
ИВБО-27-21,Аналитика данных в бизнесе и финансах
ИКБО-07-21,Сетевые технологии и администрирование сетей
ИМБО-40-20,Аналитика данных в бизнесе и финансах
ИВБО-58-23,Блокчейн и криптовалюты: технологии и применения
ИВБО-79-23,Электронная коммерция и цифровой маркетинг
ИКБО-68-20,Сетевые технологии и администрирование сетей
ИВБО-95-23,Интернет вещей (IoT) и умные технологии
ИВБО-90-23,Разработка приложений для здравоохранения и медицины
ИВБО-84-20,Интернет вещей (IoT) и умные технологии
ИКБО-72-23,Разработка мобильных приложений и IoT
ИЭБО-80-20,Автоматизация тестирования и DevOps
ИМБО-53-20,Анализ данных и машинное обучение
ИЛБО-44-22,Безопасность информационных систем и киберзащита
ИЭБО-33-22,Разработка приложений для здравоохранения и медицины
ИНБО-84-20,Сетевые технологии и администрирование сетей
ИЭБО-09-21,Программирование и разработка на языке Java
ИКБО-51-22,Сетевые технологии и администрирование сетей
ИКБО-08-20,Электронная коммерция и цифровой маркетинг
ИВБО-86-22,Программирование и разработка на языке Java
ИВБО-87-20,Разработка игр и виртуальной реальности
ИМБО-57-21,Автоматизация тестирования и DevOps
ИВБО-44-23,Информационные технологии и разработка программного обеспечения
ИВБО-20-22,Интернет вещей (IoT) и умные технологии
ИМБО-92-22,Интернет вещей (IoT) и умные технологии
ИНБО-94-21,Киберфизические системы и автоматизация процессов
ИМБО-50-20,Цифровая трансформация и стратегии бизнеса
ИЭБО-85-21,Разработка игр и виртуальной реальности
ИВБО-78-20,Блокчейн и криптовалюты: технологии и применения
ИМБО-81-23,Разработка игр и виртуальной реальности
ИНБО-55-23,Графический дизайн и мультимедиа
ИЭБО-22-20,Анализ данных и машинное обучение
ИЛБО-56-22,Графический дизайн и мультимедиа
ИКБО-58-20,Программирование и разработка на языке Java
ИНБО-46-23,Разработка мобильных приложений и IoT
ИНБО-71-20,Разработка игр и виртуальной реальности
ИВБО-66-20,Веб-разработка и интерфейсный дизайн
ИЛБО-92-20,Разработка игр и виртуальной реальности
ИЛБО-39-21,Автоматизация тестирования и DevOps
ИВБО-24-23,Блокчейн и криптовалюты: технологии и применения
ИМБО-35-20,Разработка мобильных приложений и IoT
ИЭБО-39-20,Аналитика данных в бизнесе и финансах
ИВБО-99-23,Веб-разработка и интерфейсный дизайн
ИКБО-57-23,Блокчейн и криптовалюты: технологии и применения
ИЛБО-20-22,Электронная коммерция и цифровой маркетинг
ИМБО-42-23,Блокчейн и криптовалюты: технологии и применения
ИНБО-53-22,Безопасность информационных систем и киберзащита
ИМБО-23-21,Безопасность информационных систем и киберзащита
ИЭБО-23-20,Анализ данных и машинное обучение
ИЭБО-83-22,Веб-разработка и интерфейсный дизайн
ИКБО-35-23,Анализ больших данных и облачные вычисления
ИМБО-63-22,Автоматизация тестирования и DevOps
ИЛБО-01-23,Анализ данных и машинное обучение
ИМБО-12-22,Интернет вещей (IoT) и умные технологии
ИВБО-26-20,Разработка игр и виртуальной реальности
ИМБО-16-20,Разработка робототехнических систем и искусственный интеллект
ИЛБО-79-23,Разработка мобильных приложений и IoT
ИМБО-79-23,Программирование и разработка на языке Java
ИВБО-61-20,Киберфизические системы и автоматизация процессов
ИВБО-66-22,Безопасность информационных систем и киберзащита
ИВБО-22-21,Анализ данных и машинное обучение
ИМБО-52-23,Информационные технологии и разработка программного обеспечения
ИЛБО-02-20,Графический дизайн и мультимедиа
ИКБО-32-23,Разработка робототехнических систем и искусственный интеллект
ИЛБО-94-21,Информационные технологии и разработка программного обеспечения
ИЭБО-26-23,Блокчейн и криптовалюты: технологии и применения
ИМБО-08-21,Базы данных и архитектура информационных систем
ИНБО-39-21,Анализ данных и машинное обучение
ИВБО-92-20,Разработка робототехнических систем и искусственный интеллект
ИНБО-65-20,Разработка мобильных приложений и IoT
ИКБО-42-22,Электронная коммерция и цифровой маркетинг
ИВБО-05-21,Программирование и разработка на языке Java
ИКБО-56-22,Цифровая трансформация и стратегии бизнеса
ИКБО-77-21,Разработка мобильных приложений и IoT
ИНБО-33-21,Графический дизайн и мультимедиа
ИМБО-86-23,Сетевые технологии и администрирование сетей
ИЛБО-27-23,Веб-разработка и интерфейсный дизайн
ИНБО-51-22,Базы данных и архитектура информационных систем
ИЭБО-70-20,Веб-разработка и интерфейсный дизайн
ИМБО-72-23,Сетевые технологии и администрирование сетей
ИНБО-65-22,Анализ данных и машинное обучение
ИЛБО-76-23,Разработка игр и виртуальной реальности
ИНБО-52-20,Интернет вещей (IoT) и умные технологии
ИЛБО-08-21,Цифровая трансформация и стратегии бизнеса
ИВБО-68-21,Программирование и разработка на языке Java
ИВБО-98-20,Безопасность информационных систем и киберзащита
ИНБО-01-21,Киберфизические системы и автоматизация процессов
ИЭБО-60-22,Цифровая трансформация и стратегии бизнеса
ИКБО-47-23,Безопасность информационных систем и киберзащита
ИКБО-24-21,Программирование и разработка на языке Java
ИЛБО-65-20,Интернет вещей (IoT) и умные технологии
ИНБО-19-23,Анализ данных и машинное обучение
ИМБО-29-23,Программирование и разработка на языке Java
ИНБО-45-20,Программирование и разработка на языке Java
ИВБО-28-20,Информационные технологии и разработка программного обеспечения
ИКБО-19-21,Безопасность информационных систем и киберзащита
ИЭБО-66-23,Разработка игр и виртуальной реальности
ИМБО-32-22,Интернет вещей (IoT) и умные технологии
ИЭБО-48-22,Цифровая трансформация и стратегии бизнеса
ИНБО-26-22,Аналитика данных в бизнесе и финансах
ИВБО-34-23,Информационные технологии и разработка программного обеспечения
ИЭБО-90-21,Блокчейн и криптовалюты: технологии и применения
ИНБО-28-21,Анализ больших данных и облачные вычисления
ИВБО-56-20,Анализ больших данных и облачные вычисления
ИЛБО-48-23,Разработка приложений для здравоохранения и медицины
ИНБО-41-23,Киберфизические системы и автоматизация процессов
ИВБО-43-20,Программирование и разработка на языке Java
ИМБО-38-22,Информационные технологии и разработка программного обеспечения
ИВБО-28-22,Автоматизация тестирования и DevOps
ИМБО-36-20,Информационные технологии и разработка программного обеспечения
ИНБО-84-22,Базы данных и архитектура информационных систем
ИНБО-54-20,Информационные технологии и разработка программного обеспечения
ИНБО-47-21,Разработка мобильных приложений и IoT
ИЭБО-69-23,Разработка игр и виртуальной реальности
ИНБО-03-22,Сетевые технологии и администрирование сетей
ИЛБО-76-22,Информационные технологии и разработка программного обеспечения
ИКБО-10-20,Киберфизические системы и автоматизация процессов
ИВБО-75-21,Автоматизация тестирования и DevOps
ИЭБО-54-21,Разработка мобильных приложений и IoT
ИМБО-87-23,Безопасность информационных систем и киберзащита
ИНБО-59-23,Безопасность информационных систем и киберзащита
ИВБО-55-23,Веб-разработка и интерфейсный дизайн
ИНБО-77-22,Разработка игр и виртуальной реальности
ИЛБО-07-22,Блокчейн и криптовалюты: технологии и применения
ИКБО-37-21,Анализ больших данных и облачные вычисления
ИМБО-59-20,Базы данных и архитектура информационных систем
ИНБО-88-22,Информационные технологии и разработка программного обеспечения
ИМБО-94-20,Блокчейн и криптовалюты: технологии и применения
ИВБО-25-21,Графический дизайн и мультимедиа
ИЭБО-37-22,Сетевые технологии и администрирование сетей
ИМБО-23-20,Информационные технологии и разработка программного обеспечения
ИЛБО-48-20,Анализ больших данных и облачные вычисления
ИМБО-86-21,Веб-разработка и интерфейсный дизайн
ИВБО-88-21,Блокчейн и криптовалюты: технологии и применения
ИВБО-08-22,Разработка игр и виртуальной реальности
ИНБО-68-20,Блокчейн и криптовалюты: технологии и применения
ИЛБО-80-21,Киберфизические системы и автоматизация процессов
ИЭБО-88-20,Программирование и разработка на языке Java
ИЭБО-49-23,Базы данных и архитектура информационных систем
ИКБО-41-23,Электронная коммерция и цифровой маркетинг
ИНБО-99-20,Разработка игр и виртуальной реальности
ИМБО-03-23,Цифровая трансформация и стратегии бизнеса
ИКБО-95-20,Автоматизация тестирования и DevOps
ИЭБО-04-23,Графический дизайн и мультимедиа
ИМБО-42-22,Базы данных и архитектура информационных систем
ИЛБО-07-23,Базы данных и архитектура информационных систем
ИЛБО-99-23,Цифровая трансформация и стратегии бизнеса
ИВБО-16-23,Разработка приложений для здравоохранения и медицины
ИЭБО-78-23,Анализ данных и машинное обучение
ИНБО-13-21,Веб-разработка и интерфейсный дизайн
ИМБО-65-22,Программирование и разработка на языке Java
ИНБО-44-22,Сетевые технологии и администрирование сетей
ИМБО-36-22,Разработка игр и виртуальной реальности
ИЛБО-20-23,Разработка приложений для здравоохранения и медицины
ИВБО-82-20,Электронная коммерция и цифровой маркетинг
ИЭБО-37-21,Разработка приложений для здравоохранения и медицины
ИМБО-64-20,Разработка игр и виртуальной реальности
ИЛБО-31-20,Киберфизические системы и автоматизация процессов
ИКБО-79-21,Анализ больших данных и облачные вычисления
ИНБО-98-23,Программирование и разработка на языке Java
ИКБО-74-22,Разработка мобильных приложений и IoT
ИКБО-98-21,Интернет вещей (IoT) и умные технологии
ИМБО-01-23,Киберфизические системы и автоматизация процессов
ИЛБО-20-21,Цифровая трансформация и стратегии бизнеса
ИКБО-69-21,Информационные технологии и разработка программного обеспечения
ИЭБО-18-22,Анализ больших данных и облачные вычисления
ИВБО-46-22,Веб-разработка и интерфейсный дизайн
ИВБО-70-22,Разработка робототехнических систем и искусственный интеллект
ИЭБО-19-21,Базы данных и архитектура информационных систем
ИНБО-61-20,Электронная коммерция и цифровой маркетинг
ИЭБО-09-22,Электронная коммерция и цифровой маркетинг
ИМБО-94-22,Анализ больших данных и облачные вычисления
ИЭБО-13-22,Электронная коммерция и цифровой маркетинг
ИНБО-05-20,Базы данных и архитектура информационных систем
ИЛБО-50-23,Разработка приложений для здравоохранения и медицины
ИВБО-34-20,Анализ больших данных и облачные вычисления
ИКБО-57-20,Разработка робототехнических систем и искусственный интеллект
ИЛБО-42-23,Анализ больших данных и облачные вычисления
ИЛБО-54-20,Анализ данных и машинное обучение
ИЛБО-66-22,Блокчейн и криптовалюты: технологии и применения
ИЭБО-17-23,Аналитика данных в бизнесе и финансах
ИНБО-72-23,Базы данных и архитектура информационных систем
ИМБО-67-20,Сетевые технологии и администрирование сетей
ИЛБО-84-23,Интернет вещей (IoT) и умные технологии
ИНБО-75-22,Автоматизация тестирования и DevOps
ИМБО-12-21,Графический дизайн и мультимедиа
ИЛБО-59-21,Сетевые технологии и администрирование сетей
ИНБО-94-22,Электронная коммерция и цифровой маркетинг
ИВБО-16-21,Аналитика данных в бизнесе и финансах
ИКБО-87-20,Разработка приложений для здравоохранения и медицины
ИНБО-79-20,Автоматизация тестирования и DevOps
ИНБО-08-20,Автоматизация тестирования и DevOps
ИВБО-70-20,Разработка игр и виртуальной реальности
ИЭБО-20-20,Разработка мобильных приложений и IoT
ИЛБО-41-20,Автоматизация тестирования и DevOps
ИМБО-18-21,Программирование и разработка на языке Java
ИЭБО-88-22,Анализ больших данных и облачные вычисления
ИНБО-43-22,Цифровая трансформация и стратегии бизнеса
ИКБО-97-21,Безопасность информационных систем и киберзащита
ИКБО-81-22,Блокчейн и криптовалюты: технологии и применения
ИЛБО-33-23,Разработка робототехнических систем и искусственный интеллект
ИВБО-43-21,Блокчейн и криптовалюты: технологии и применения
ИВБО-30-20,Базы данных и архитектура информационных систем
ИЭБО-32-20,Анализ данных и машинное обучение
ИНБО-83-23,Программирование и разработка на языке Java
ИМБО-82-21,Киберфизические системы и автоматизация процессов
ИЛБО-85-23,Безопасность информационных систем и киберзащита
ИВБО-67-21,Автоматизация тестирования и DevOps
ИВБО-45-23,Анализ данных и машинное обучение
ИЛБО-25-22,Киберфизические системы и автоматизация процессов
ИМБО-59-23,Электронная коммерция и цифровой маркетинг
ИЛБО-84-20,Разработка приложений для здравоохранения и медицины
ИНБО-68-23,Программирование и разработка на языке Java
ИМБО-95-20,Разработка мобильных приложений и IoT
ИКБО-58-22,Информационные технологии и разработка программного обеспечения
ИВБО-98-23,Цифровая трансформация и стратегии бизнеса
ИМБО-39-23,Блокчейн и криптовалюты: технологии и применения
ИКБО-97-23,Автоматизация тестирования и DevOps
ИЭБО-05-20,Разработка игр и виртуальной реальности
ИНБО-44-21,Программирование и разработка на языке Java
ИЭБО-72-20,Сетевые технологии и администрирование сетей
ИЭБО-97-21,Сетевые технологии и администрирование сетей
ИМБО-09-21,Базы данных и архитектура информационных систем
ИНБО-78-20,Аналитика данных в бизнесе и финансах
ИМБО-41-21,Разработка мобильных приложений и IoT
ИКБО-70-23,Электронная коммерция и цифровой маркетинг
ИНБО-24-21,Анализ больших данных и облачные вычисления
ИКБО-36-23,Блокчейн и криптовалюты: технологии и применения
ИКБО-39-20,Базы данных и архитектура информационных систем
ИКБО-34-22,Разработка игр и виртуальной реальности
ИНБО-93-23,Базы данных и архитектура информационных систем
ИКБО-38-23,Киберфизические системы и автоматизация процессов
ИЛБО-72-23,Анализ данных и машинное обучение
ИМБО-97-20,Базы данных и архитектура информационных систем
ИЭБО-19-23,Безопасность информационных систем и киберзащита
ИМБО-63-20,Сетевые технологии и администрирование сетей
ИЭБО-07-23,Интернет вещей (IoT) и умные технологии
ИЛБО-50-22,Киберфизические системы и автоматизация процессов
ИЭБО-66-22,Интернет вещей (IoT) и умные технологии
ИЭБО-05-21,Разработка мобильных приложений и IoT
ИЭБО-23-22,Интернет вещей (IoT) и умные технологии
ИЭБО-83-20,Автоматизация тестирования и DevOps
ИНБО-55-20,Разработка робототехнических систем и искусственный интеллект
ИВБО-63-21,Цифровая трансформация и стратегии бизнеса
ИНБО-28-23,Автоматизация тестирования и DevOps
ИМБО-65-23,Разработка робототехнических систем и искусственный интеллект
ИКБО-26-23,Разработка игр и виртуальной реальности
ИЛБО-40-21,Информационные технологии и разработка программного обеспечения
ИКБО-90-21,Графический дизайн и мультимедиа
ИМБО-41-23,Разработка игр и виртуальной реальности
ИМБО-80-23,Разработка приложений для здравоохранения и медицины
ИНБО-58-21,Анализ больших данных и облачные вычисления
ИМБО-49-21,Веб-разработка и интерфейсный дизайн
ИНБО-49-23,Автоматизация тестирования и DevOps
ИЭБО-25-20,Разработка робототехнических систем и искусственный интеллект
ИНБО-75-23,Базы данных и архитектура информационных систем
ИМБО-34-21,Анализ больших данных и облачные вычисления
ИМБО-26-23,Безопасность информационных систем и киберзащита
ИНБО-45-22,Графический дизайн и мультимедиа
ИВБО-82-22,Анализ больших данных и облачные вычисления
ИМБО-56-23,Анализ данных и машинное обучение
ИЭБО-60-23,Блокчейн и криптовалюты: технологии и применения
ИЭБО-32-23,Анализ данных и машинное обучение
ИЭБО-35-23,Разработка мобильных приложений и IoT
ИВБО-53-22,Разработка робототехнических систем и искусственный интеллект
ИКБО-31-23,Анализ данных и машинное обучение
ИКБО-65-20,Разработка игр и виртуальной реальности
ИЭБО-65-23,Блокчейн и криптовалюты: технологии и применения
ИМБО-36-23,Разработка приложений для здравоохранения и медицины
ИЭБО-61-22,Блокчейн и криптовалюты: технологии и применения
ИНБО-63-20,Цифровая трансформация и стратегии бизнеса
ИМБО-73-23,Анализ данных и машинное обучение
ИНБО-84-21,Разработка робототехнических систем и искусственный интеллект
ИНБО-01-22,Графический дизайн и мультимедиа
ИЭБО-75-21,Разработка робототехнических систем и искусственный интеллект
ИНБО-59-21,Анализ больших данных и облачные вычисления
ИВБО-33-21,Информационные технологии и разработка программного обеспечения
ИКБО-77-20,Анализ данных и машинное обучение
ИКБО-75-23,Разработка игр и виртуальной реальности
ИЭБО-42-23,Анализ больших данных и облачные вычисления
ИВБО-93-21,Аналитика данных в бизнесе и финансах
ИВБО-50-20,Киберфизические системы и автоматизация процессов
ИНБО-55-21,Блокчейн и криптовалюты: технологии и применения
ИЭБО-36-20,Программирование и разработка на языке Java
ИНБО-25-21,Безопасность информационных систем и киберзащита
ИВБО-61-23,Интернет вещей (IoT) и умные технологии
ИВБО-32-22,Электронная коммерция и цифровой маркетинг
ИЛБО-92-21,Автоматизация тестирования и DevOps
ИЛБО-05-20,Анализ данных и машинное обучение
ИМБО-01-21,Интернет вещей (IoT) и умные технологии
ИВБО-31-21,Киберфизические системы и автоматизация процессов
ИНБО-27-22,Анализ больших данных и облачные вычисления
ИКБО-02-22,Цифровая трансформация и стратегии бизнеса
ИЭБО-12-20,Электронная коммерция и цифровой маркетинг
ИЛБО-82-20,Аналитика данных в бизнесе и финансах
ИМБО-68-21,Веб-разработка и интерфейсный дизайн
ИМБО-44-20,Веб-разработка и интерфейсный дизайн
ИНБО-29-21,Анализ данных и машинное обучение
ИВБО-48-23,Анализ больших данных и облачные вычисления
ИКБО-14-20,Веб-разработка и интерфейсный дизайн
ИЛБО-67-23,Разработка приложений для здравоохранения и медицины
ИЛБО-34-21,Программирование и разработка на языке Java
ИНБО-08-22,Блокчейн и криптовалюты: технологии и применения
ИНБО-02-20,Цифровая трансформация и стратегии бизнеса
ИВБО-03-22,Информационные технологии и разработка программного обеспечения
